dataset,estimator,sampling_condition,treatment,n,n_treated,n_control,n_pairs,match_rate,mean_pair_effect,std_pair_effect,normalized_pair_effect,final_allowed_distance,sufficient_pairs,observed_confounders,source_path,source_sha256,row_validation_status,admission_status,caveat_codes,selection_status
mimic,cross-run-consistent,original,LAT_HEPATIC_COAG_DYSFUNCTION,26845,,,6478,1.0,0.13337449830194503,0.545981209812048,1.1040513126474605,0,True,"LAT_INFLAMMATION_SEPSIS, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
mimic,cross-run-consistent,original,LAT_METABOLIC_DERANGEMENT,26845,,,5061,0.505543901708121,0.03694921952183363,0.45857885299791223,0.3058593271858229,0,True,"LAT_GLOBAL_SEVERITY, LAT_RENAL_DYSFUNCTION, LAT_RESPIRATORY_FAILURE, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
mimic,cross-run-consistent,original,LAT_NEUROLOGIC_DYSFUNCTION,26845,,,6275,0.5387190934065934,0.026932270916334662,0.4804843690645797,0.2229407378196127,0,True,"Age, Gender, LAT_CHRONIC_BURDEN, LAT_GLOBAL_SEVERITY, LAT_INFLAMMATION_SEPSIS",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
mimic,cross-run-consistent,original,LAT_RENAL_DYSFUNCTION,26845,,,8915,0.9146404021750282,0.13359506449803701,0.49155856928162456,1.1058771219395016,0,True,"LAT_CHRONIC_BURDEN, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
mimic,cross-run-consistent,original,LAT_RESPIRATORY_FAILURE,26845,,,10998,0.694011484823626,0.10565557374068012,0.41272258381573546,0.8745987903387473,2,True,"Age, Gender, LAT_CHRONIC_BURDEN, LAT_GLOBAL_SEVERITY, LAT_INFLAMMATION_SEPSIS",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
mimic,cross-run-consistent,original,LAT_SHOCK,26845,,,10380,0.7165539141239817,0.03863198458574181,0.36005220823712913,0.3197889689189759,1,True,"Age, Gender, LAT_CARDIAC_STRAIN, LAT_CHRONIC_BURDEN, LAT_INFLAMMATION_SEPSIS",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
physionet,cross-run-consistent,outcome-downsampled,LAT_CARDIAC_INJURY_STRAIN,2276,,,1013,1.0,0.25172754195459035,0.687845835978315,0.5034550839091807,0,True,"ICUType_1, ICUType_2, ICUType_3, ICUType_4",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
physionet,cross-run-consistent,outcome-downsampled,LAT_COAG_HEME_DYSFUNCTION,2276,,,549,0.5596330275229358,0.061930783242258654,0.7095469323553562,0.12386156648451731,0,True,"LAT_INFLAMMATION_SEPSIS_BURDEN, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
physionet,cross-run-consistent,outcome-downsampled,LAT_GLOBAL_SEVERITY,2276,,,353,0.18356734269370775,0.24929178470254956,0.6262767027199856,0.4985835694050991,1,False,"Age, Gender, ICUType_1, ICUType_2, ICUType_3, ICUType_4, LAT_CHRONIC_BASELINE_RISK, LAT_INFLAMMATION_SEPSIS_BURDEN, Weight",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
physionet,cross-run-consistent,outcome-downsampled,LAT_HEPATIC_DYSFUNCTION,2276,,,435,1.0,0.20229885057471264,0.6791796711400601,0.4045977011494253,0,True,"ICUType_1, ICUType_2, ICUType_3, ICUType_4, LAT_CARDIAC_INJURY_STRAIN, LAT_INFLAMMATION_SEPSIS_BURDEN, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
